text,label
Government announces new infrastructure spending bill to boost economy,0
Scientists discover breakthrough treatment for Alzheimer's disease,0
Federal Reserve holds interest rates steady amid economic uncertainty,0
Renewable energy investments reach record high in third quarter,0
International climate summit reaches agreement on carbon emissions,0
New educational initiative aims to improve literacy rates nationwide,0
Health officials recommend annual flu vaccinations for all citizens,0
University researchers develop more efficient solar panel technology,0
Major tech companies report strong quarterly earnings growth,0
City council approves funding for new public transportation system,0
You won't believe what celebrities are hiding about their health!,1
Shocking conspiracy reveals truth about moon landing cover-up,1
Alien invasion imminent - government preparing secret bunkers,1
Miracle weight loss pill burns fat while you sleep - doctors hate this trick!,1
Celebrity death hoax spreads across social media platforms,1
Secret government experiments cause mysterious weather phenomena,1
Breaking: Local man discovers cure for all cancers in kitchen cabinet,1
Exclusive: Time travel technology leaked from classified facility,1
Urgent: Banking system crash imminent - withdraw money now!,1
Vaccines cause supernatural powers according to leaked documents,1
Study confirms Mediterranean diet reduces risk of heart disease,0
New policy aims to reduce carbon footprint by 2030,0
Tech giant announces layoffs affecting thousands of employees,0
Researchers develop early detection method for pancreatic cancer,0
International trade agreement signed between major economies,0
Local school district adopts new curriculum standards,0
Public health campaign promotes mental wellness awareness,0
Renewable energy jobs surpass fossil fuel employment,0
Central bank warns of potential economic recession,0
Archaeologists unearth ancient civilization ruins,0
EXCLUSIVE: Hollywood stars involved in secret illuminati rituals,1
Government hiding evidence of UFO landings since 1947,1
Big Pharma suppresses natural cancer cure for profit,1
Weather manipulation technology used to control elections,1
Cell phone towers cause mass bird deaths worldwide,1
Chemtrails spread mind-controlling substances over cities,1
Ancient aliens built the pyramids according to new research,1
Superfood scam exposed: Kale linked to alien abductions,1
Breaking: Bitcoin crashes to zero - investors lose everything!,1
Scientists accidentally create portal to parallel universe,1
